,index,ul_lon,ul_lat,ul_z,ur_lon,ur_lat,ur_z,lr_lon,lr_lat,lr_z,ll_lon,ll_lat,ll_z,s_slip_m,d_slip_m,slip_m,s_slip_m_err,d_slip_m_err,slip_m_err,lon_center,lat_center,easting_utm48,northing_utm48,z_center,ul_east,ul_north,ur_east,ur_north,strike,dip,fault_seg,xx_stress,yy_stress,zz_stress,xy_stress,xz_stress,yz_stress,x_pixel,y_pixel,z_pixel,sig_nn,tau_dd,tau_ss,tau_cs
0,2061,105.84,32.9,0.0,105.807,32.876999999999995,0.0,105.79899999999999,32.883,2.8,105.83200000000001,32.906,2.8,0.0,0.0,0.0,0.0,0.0,0.0,105.8195,32.8915,576648.9188537544,3639556.4154062974,1.4,578558.8632347293,3640513.8329344164,575492.0389473579,3637939.8952842574,220.00621038821308,70.54643382390921,bei_b,0.0,0.0,0.0,0.0,0.0,0.0,1442.1048008417165,732.753678338403,-0.45100000000000007,0.0,0.0,0.0,0.0
1,2062,105.807,32.876999999999995,0.0,105.774,32.855,0.0,105.766,32.86,2.8,105.79899999999999,32.883,2.8,0.0,0.09,0.09,0.0,0.05,0.05,105.7865,32.86875,573581.0997854932,3637010.8050544183,1.4,575492.0389473579,3637939.8952842574,572422.8054579658,3635477.811134977,218.73596178885586,71.40518642502539,bei_b,0.0,0.0,0.0,0.0,0.0,0.0,1438.4882441596792,729.7527373040384,-0.45100000000000007,0.0,0.0,0.0,0.0
2,2063,105.774,32.855,0.0,105.741,32.832,0.0,105.73299999999999,32.838,2.8,105.766,32.86,2.8,0.0,0.27,0.27,0.0,0.07,0.07,105.7535,32.84625,570511.5043524947,3634493.9008947997,1.4,572422.8054579658,3635477.811134977,569352.8240640933,3632905.85528942,219.95545741362758,71.32431935879788,bei_b,0.0,0.0,0.0,0.0,0.0,0.0,1434.869593376388,726.7856371087605,-0.45100000000000007,0.0,0.0,0.0,0.0
3,2064,105.741,32.832,0.0,105.708,32.809,0.0,105.7,32.815,2.8,105.73299999999999,32.838,2.8,0.0,0.14,0.14,0.0,0.04,0.04,105.7205,32.8235,567440.5378323979,3631950.271047295,1.4,569352.8240640933,3632905.85528942,566281.2481959413,3630334.889180818,219.92995843436668,70.54125334471195,bei_b,0.0,0.0,0.0,0.0,0.0,0.0,1431.2493262610706,723.7870308295328,-0.45100000000000007,0.0,0.0,0.0,0.0
4,2065,105.708,32.809,0.0,105.675,32.786,0.0,105.666,32.792,2.8,105.7,32.815,2.8,0.0,0.06,0.06,0.0,0.04,0.04,105.68725,32.8005,564344.7679090064,3629379.7629086636,1.4,566281.2481959413,3630334.889180818,563208.07897661,3627764.91176881,219.90448865140166,69.99924011653336,bei_b,0.0,0.0,0.0,0.0,0.0,0.0,1427.5998191834465,720.7567385671318,-0.45100000000000007,0.0,0.0,0.0,0.0
5,2066,105.675,32.786,0.0,105.64200000000001,32.764,0.0,105.633,32.77,2.8,105.666,32.792,2.8,0.0,0.06,0.06,0.0,0.03,0.03,105.654,32.77800000000001,561247.0506093181,3626865.68725346,1.4,563208.07897661,3627764.91176881,560132.6452670282,3625306.7808136935,218.6346258447993,69.55352602990453,bei_b,0.0,0.0,0.0,0.0,0.0,0.0,1423.948016404347,717.7929728079189,-0.45100000000000007,0.0,0.0,0.0,0.0
6,2067,105.64200000000001,32.764,0.0,105.609,32.741,0.0,105.6,32.747,2.8,105.633,32.77,2.8,0.19,0.0,0.19,0.11,0.0,0.11,105.621,32.7555,558171.1835730143,3624352.7500534975,1.4,560132.6452670282,3625306.7808136935,557056.3276626904,3622738.776968925,219.85396459653919,69.45906774302159,bei_b,0.0,0.0,0.0,0.0,0.0,0.0,1420.321972222574,714.8305491382548,-0.45100000000000007,0.0,0.0,0.0,0.0
7,2068,105.609,32.741,0.0,105.57600000000001,32.718,0.0,105.56700000000001,32.724000000000004,2.8,105.6,32.747,2.8,0.17,0.0,0.17,0.11,0.0,0.11,105.588,32.7325,555094.0683695044,3621785.369312272,1.4,557056.3276626904,3622738.776968925,553978.4200147508,3620171.758697825,219.82858160313225,69.45722341191161,bei_b,0.0,0.0,0.0,0.0,0.0,0.0,1416.6944566152215,711.803943667589,-0.45100000000000007,0.0,0.0,0.0,0.0
8,2069,105.57600000000001,32.718,0.0,105.54299999999999,32.696,0.0,105.53399999999999,32.702,2.8,105.56700000000001,32.724000000000004,2.8,0.0,0.61,0.61,0.0,0.11,0.11,105.555,32.71,552015.0734120986,3619274.402128649,1.4,553978.4200147508,3620171.758697825,550898.3559075794,3617716.5817320463,218.55900733768377,69.54840486361114,bei_b,0.0,0.0,0.0,0.0,0.0,0.0,1413.0647250243442,708.8438423890434,-0.45100000000000007,0.0,0.0,0.0,0.0
9,2070,105.54299999999999,32.696,0.0,105.51,32.673,0.0,105.501,32.679,2.8,105.53399999999999,32.702,2.8,0.0,1.0,1.0,0.0,0.12,0.12,105.522,32.6875,548934.5248052342,3616764.41823622,1.4,550898.3559075794,3617716.5817320463,547817.3063323312,3615151.530801965,219.7782287741565,69.45361159402489,bei_b,0.0,0.0,0.0,0.0,0.0,0.0,1409.4331618843407,705.884900281967,-0.45100000000000007,0.0,0.0,0.0,0.0
